Feature set,Accuracy,Balanced Accuracy,Precision,Recall,F1,F2,MCC,ROC-AUC,PR-AUC,TN,FP,FN,TP
All 30 features,0.9685589519650655,0.9685825896265889,0.9711375212224108,0.9678510998307953,0.9694915254237289,0.9685066034541144,0.9370650139496506,0.9962829933967392,0.9966561426371253,537,17,19,572
Reduced (27 features),0.9737991266375546,0.9737717385328666,0.9746192893401016,0.9746192893401016,0.9746192893401016,0.9746192893401016,0.9475434770657333,0.9963593493253191,0.9966963423401931,539,15,15,576
