threshold,precision,recall,F1,F2,FP,FN,TP,TN
0.25,0.9071207430340558,0.9915397631133672,0.9474535165723524,0.973421926910299,60,5,586,494
0.35,0.9511400651465798,0.988155668358714,0.9692946058091286,0.9805238415043653,30,7,584,524
0.4,0.9635761589403974,0.9847715736040609,0.9740585774058578,0.9804582210242587,22,9,582,532
0.5,0.9711375212224108,0.9678510998307953,0.9694915254237289,0.9685066034541144,17,19,572,537
0.6,0.980565371024735,0.9390862944162437,0.9593777009507347,0.947098976109215,11,36,555,543
0.7,0.9872029250457038,0.9137055837563451,0.9490333919156415,0.9275163174166953,7,51,540,547
0.75,0.9925093632958801,0.8967851099830795,0.9422222222222222,0.9144237405106971,4,61,530,550
