Model,Accuracy,Precision,Recall,F1,F2,MCC,ROC_AUC,TN,FP,FN,TP
Random Forest,0.947008547008547,0.9421052631578948,0.9487632508833922,0.9454225352112676,0.94742413549753,0.8939496918817511,0.9899609201319823,571,33,29,537
Decision Tree,0.9324786324786325,0.9294532627865961,0.931095406360424,0.9302736098852604,0.9307665135994349,0.8648234420681857,0.9817149509746566,564,40,39,527
Logistic Regression,0.9128205128205128,0.9,0.9222614840989399,0.9109947643979057,0.9177215189873418,0.8258292618033901,0.9738024477570028,546,58,44,522
